Neighborhood,Name,x,y
Blmngtn,Bloomington Heights,-93.6352364,42.0564186
Blueste,Bluestem,-93.6319131,42.0307812
BrDale,Briardale,-93.6288242,42.0527975
BrkSide,Brookside,-93.6303855,42.0286531
ClearCr,Clear Creek,-93.6491345,41.9933103
CollgCr,College Creek,-93.64965409109443,42.02142359210303
Crawfor,Crawford,-93.6071399,42.028025
Edwards,Edwards,-93.6854003,42.0155114
Gilbert,Gilbert,-93.6120192,42.03365609999999
IDOTRR,Iowa DOT and Rail Road,-93.6319131,42.0307812
MeadowV,Meadow Village,-93.6026447,41.9924484
Mitchel,Mitchell,-93.6010533,41.9903084
NAmes,NAmes,-93.6319131,42.0307812
NPkVill,Northpark Villa,-93.6319131,42.0307812
NWAmes,Northwest Ames,-93.6257703,42.0382772
NoRidge,Northridge,-93.6480513,42.0479653
NridgHt,Northridge Heights,-93.6494713,42.0597732
OldTown,Old Town,-93.6143401,42.029046
SWISU,South & West of Iowa State University,-93.6464516,42.0266573
Sawyer,Sawyer,-93.6770658,42.0339027
SawyerW,Sawyer West,-93.6595993,42.0249063
Somerst,Somerset,-93.6394675,42.0497489
StoneBr,Stone Brook,-93.6376421,42.0597268
Timber,Timberland,-93.6496925,41.9999732
Veenker,Veenker,-93.649122,42.0416398
